Noise (%),[0] A -> C,[1] A -> D,[2] B -> C,[3] B -> D,[4] A + B -> C,[5] A + B -> D,[6] 2A -> C,[7] 2A -> D,[8] 2B -> C,[9] 2B -> D,[10] A + B -> C -> D,[11] 2A -> C -> D,[12] A -> C -> D,[13] B -> C -> D,[14] A + B -> C ; 2A -> D,[15] A -> C ; B -> D,[16] 2A -> C ; 2B -> D,[17] A + B -> C -> D ; 2A -> D,[18] 2A -> C -> D ; A + B -> D,[19] A -> C -> D ; B -> D,[20] A <-> C,[21] A <-> D,[22] B <-> C,[23] B <-> D,[24] A + B <-> C,[25] A + B <-> D,[26] A -> C + D,[27] B -> C + D
15,79.2672,83.8197,73.1506,74.4086,67.0414,66.5302,92.6516,96.7553,96.8354,94.5455,67.5069,74.1935,80.8355,86.7836,61.7792,84.9561,81.5083,41.9724,54.7989,83.3193,82.3767,57.8901,75.4409,64.5787,76.8011,44.7836,95.9622,94.186
15.5,78.9224,83.7339,72.2802,73.2473,66.5468,66.8031,93.3599,96.3948,96.4738,94.5898,66.7278,71.6398,79.4574,86.0565,61.2862,84.0368,81.8492,41.1877,52.6495,82.6014,83.2287,54.5495,75.9259,61.5351,73.4028,40.5011,95.5326,93.8846
16,78.4914,83.9914,72.2802,71.7419,66.8165,63.8927,92.5631,96.3046,96.0217,93.9246,65.582,71.0125,78.596,86.1848,59.2926,82.9921,80.6988,40.7635,52.2026,81.6301,82.5112,51.4725,73.3245,57.0798,75.3965,38.5877,95.5326,94.143
16.5,78.5776,83.3476,71.5405,69.8065,66.5018,61.7553,93.0943,96.0793,96.3834,92.1064,62.7864,70.5197,75.4522,85.4577,59.507,82.6995,79.7188,39.7243,50.0958,79.3919,83.0493,48.6593,72.8836,53.3745,71.8623,36.1276,94.9313,92.851
17,78.8793,83.7339,71.7581,68.5591,64.973,61.9827,92.5631,96.0342,95.7957,91.796,61.4115,68.6828,75.323,83.704,57.7063,82.407,80.3579,37.7519,49.8191,78.9274,81.435,44.3516,72.3104,52.7128,71.0014,32.7107,94.9742,92.2911
17.5,78.1034,82.8755,71.9321,66.0645,66.277,60.573,93.8026,96.8905,96.0669,89.49,60.2658,66.6219,72.6529,82.8914,57.3419,81.613,78.0571,37.2428,47.7336,78.5895,81.9283,40.9231,71.3845,47.1989,69.0983,31.8907,94.5447,92.5065
18,77.3276,81.7167,71.2794,62.7957,66.0072,59.3452,92.2089,96.2596,95.3888,88.9135,59.4409,66.3082,72.05,82.1215,56.3558,81.1534,78.7814,36.0339,45.4778,76.6892,80.2691,38.4176,69.7531,44.2435,68.464,26.5604,94.5876,91.1714
18.5,77.3707,81.3734,70.4961,59.828,65.3327,56.844,93.714,96.53,95.4792,87.4501,57.1036,64.3369,69.8105,81.3088,55.0911,80.9026,77.7162,34.9099,45.3075,75.5912,79.6413,34.7253,70.4145,41.4645,68.2827,25.2847,94.201,91.1283
19,76.5086,81.9313,70.5396,55.6989,64.4335,56.1619,93.5812,96.1694,94.9367,85.3659,55.5912,64.1129,68.9922,79.4696,54.5981,80.9444,76.5658,34.21,44.0732,75.0845,80.6726,34.1538,69.3122,37.9797,66.9687,24.0547,93.6856,90.7838
19.5,76.4655,81.1159,70.6266,55.871,65.2878,53.7062,94.1567,96.0342,94.7107,83.8137,54.2621,62.8584,69.0353,78.5714,53.7835,79.5654,76.2676,32.5557,42.3282,73.0152,78.565,28.6593,67.8131,34.7596,66.5609,22.8702,93.8574,90.7838
20,76.0345,80.9442,70.1915,52.086,64.7932,52.7058,93.9796,96.0342,95.0723,82.9712,52.154,60.6631,68.4324,78.0154,52.3901,79.0221,74.6059,31.877,40.9449,71.7061,76.9058,28.4835,68.0335,32.6864,64.5673,19.18,93.5567,89.9225
20.5,75.6034,80.1717,70.2785,48.4301,64.973,49.9318,94.7322,95.178,93.7613,81.6851,53.1622,59.1398,65.8484,75.7057,51.9614,78.2282,74.9041,31.877,40.2426,71.0726,77.0852,24.7912,64.4621,29.6427,63.5705,18.4966,92.7405,90.0517
21,75.3017,80.9013,69.4517,48.9032,63.8939,49.4316,94.9978,95.0428,94.2134,77.7384,50.9166,58.8262,64.3411,75.278,50.5038,78.3117,74.6485,30.0318,38.4976,70.1858,76.3229,22.8571,64.7266,27.1284,63.7064,16.2642,92.8265,89.7502
21.5,74.569,79.485,68.7554,45.5484,64.4335,48.8859,94.8207,95.5836,93.9421,77.6497,48.0293,58.1093,63.0491,73.5244,50.0536,76.8909,73.285,29.4804,37.6889,68.7922,76.0538,20.3077,62.1693,25.2757,63.072,14.2597,92.311,89.9225
22,74.181,78.412,68.3203,43.3118,63.6691,47.5671,94.1567,94.7724,93.8065,74.6785,47.6169,57.2581,61.4556,73.0539,50.9325,77.6431,73.0294,27.7837,36.412,66.8919,75.2466,17.7143,62.5661,22.3644,60.7159,13.7585,92.0533,89.578
22.5,74.0948,78.7554,68.5379,40.3011,63.0396,45.0205,94.378,94.2767,93.1736,72.0177,46.0128,55.9588,60.4651,72.3268,48.3816,76.8074,72.2625,27.1474,34.7946,67.0608,74.7982,16.3516,60.4497,21.438,58.4504,12.7563,91.5808,88.6305
23,73.2759,76.309,67.537,37.5484,63.3543,42.4284,95.1749,94.3218,94.123,68.8692,45.8295,55.0627,59.3885,72.284,47.9743,76.0134,72.0494,26.2142,34.1349,66.0051,73.0942,15.1209,60.1411,19.1001,58.1332,11.2073,91.7096,87.9845
23.5,72.5,78.1545,67.3629,34.7957,63.3094,41.337,95.0863,94.7274,92.2694,66.8293,43.2172,53.6738,58.6563,70.1882,47.8885,75.6373,72.4329,26.0445,32.4963,64.3581,71.7937,15.3407,57.9365,16.8946,56.2302,10.5239,91.4089,88.1568
24,71.9828,76.6953,67.3629,31.3118,62.8597,41.2005,95.0421,94.6372,92.7667,64.3902,43.2172,52.4194,57.149,68.3918,46.7953,74.8015,69.7912,24.6448,31.645,63.3024,71.5695,13.2308,56.3933,16.1447,56.2755,9.6128,91.1512,87.8984
24.5,72.3276,75.5794,67.7111,31.871,62.3201,39.518,95.4847,94.2767,92.3599,65.5432,42.0715,53.4498,56.6753,67.8785,46.538,74.3836,70.4303,24.9205,30.5597,63.1757,70.852,12.3516,55.8201,13.3216,56.638,9.0205,90.8935,86.6064
25,70.9914,75.7082,65.6223,30.2366,61.5558,36.9259,95.7946,93.105,91.5461,61.5965,40.6966,51.2993,54.4358,66.4243,45.895,73.4225,68.7686,24.263,29.1764,61.8243,68.7892,11.1648,54.0564,11.8659,55.2333,7.5171,89.9485,87.7261
25.5,70.6034,75.3648,65.6223,26.4516,61.7806,36.3802,96.0602,92.7445,92.0886,60.6208,40.8341,47.6703,54.6081,64.2002,46.0236,72.8374,68.3426,23.0965,28.7934,61.0642,68.8341,9.1868,53.1746,11.7777,53.9193,6.0592,90.2491,86.7786
26,69.5259,74.8498,64.4909,24.043,61.286,35.0614,95.1306,93.7359,91.9078,57.2062,39.78,48.2079,53.5314,65.2695,44.7374,72.7957,68.0443,23.0117,28.3677,59.7551,66.3677,8.2198,54.4533,11.91,52.696,5.8314,90.378,86.6494
26.5,69.6121,73.8197,64.839,24,61.8705,34.3793,94.9093,92.6093,90.1899,56.541,36.5261,47.8495,53.4884,64.7134,43.537,71.7509,68.0443,21.527,27.1122,59.0372,66.861,7.3407,48.9859,8.6017,51.6085,5.5125,88.8746,86.5633
27,69.5259,72.6609,64.7084,22.5806,60.9263,33.3788,95.5733,92.2488,90.6872,53.4368,36.6178,47.1326,51.0767,63.9863,44.03,71.7927,66.7235,20.9756,25.1969,57.4324,64.6188,7.033,48.9859,9.6162,51.7898,4.8292,89.2182,86.1326
27.5,68.75,72.7468,62.6197,20.9892,60.1169,31.105,94.7322,92.6093,90.868,47.8936,36.7553,46.0125,49.5693,61.6766,42.6795,71.2913,65.8287,20.2757,24.3456,57.6436,62.8251,6.1538,50,8.2047,49.1164,4.2825,89.0893,85.702
28,67.8879,73.3047,62.8372,19.2258,59.0827,30.8322,94.9093,92.2037,89.783,50.3769,35.2887,44.4892,49.8708,62.1044,42.2722,71.1659,66.3826,20.6999,24.5797,55.6166,62.87,6.022,46.3845,7.0578,49.1618,3.4624,89.3471,84.7545
28.5,67.6724,72.1459,62.0104,17.0323,59.982,30.5593,95.0421,91.753,90.5063,47.184,34.2805,44.4444,49.1817,60.864,41.7792,69.6197,64.5931,19.7455,23.8136,54.8142,63.1839,5.4505,45.8995,7.2342,45.99,3.7813,87.5859,86.0465
29,66.0776,72.103,62.1845,16.2151,60.2518,30.7867,95.4405,92.3389,89.6926,44.1685,33.3181,43.19,47.8036,59.1104,41.0075,70.748,64.1244,18.8971,22.2601,54.2652,60.9865,4.6593,45.2822,5.8227,47.7118,4.1002,87.6289,84.9699
29.5,64.3966,71.5021,61.7493,15.6559,58.6781,29.0587,94.9535,91.6629,89.8734,43.592,32.7681,43.3244,46.081,59.0248,40.7717,69.1183,64.5505,17.667,20.9832,52.4916,58.296,4.4396,43.1658,5.6462,45.3104,3.3257,87.457,84.4531
30,65,70.9871,60.705,13.7634,59.1727,25.8754,94.9535,91.6629,89.5118,41.7295,32.4473,41.6219,45.8226,57.1429,39.8928,68.6586,63.1018,17.7731,20.2171,53.2939,59.8655,3.6923,42.0635,5.3375,45.3104,3.3257,87.5,84.6684
30.5,64.3534,71.7597,59.53,12.7742,58.4532,27.6489,95.3962,91.2573,88.5624,40.0443,32.3098,39.9194,45.6934,56.9718,39.3783,68.8675,62.5479,17.3277,19.8979,52.5338,57.3991,3.5165,40.2998,4.2788,45.0838,2.779,86.8986,83.2041
31,63.6638,71.8026,57.6153,12.086,57.5989,26.1028,94.1124,90.9419,88.472,38.6253,29.6517,38.9785,45.435,56.0308,39.507,67.0706,61.3123,15.8431,19.2807,49.8311,55.0673,3.2967,38.8007,3.9259,44.1776,2.5513,85.9966,83.8071
31.5,62.931,72.0601,58.6162,10.9247,57.464,26.1937,94.4666,90.4011,87.9747,37.2062,31.0266,39.1577,43.497,56.5868,37.7063,66.8199,62.1219,16.5429,19.004,50.8446,56.1435,3.3846,40.388,4.0141,44.3135,2.2323,86.6838,83.2041
32,62.1121,70.5579,57.2237,11.7849,56.8345,26.3302,95.8389,89.7251,88.0651,35.6541,29.0559,38.2616,41.9466,54.7904,37.6206,66.7363,61.0993,16.0551,17.2377,50.4223,54.6637,2.7692,36.8166,2.6467,41.3231,2.2779,85.8247,82.3428
32.5,61.5517,68.7983,57.2672,11.3548,56.3399,24.3292,95.1749,90.5813,88.1555,33.1707,28.8726,38.2616,41.8605,53.7639,37.7063,66.7781,60.5454,15.9915,17.1313,48.4375,53.2735,2.7253,34.9647,3.6171,40.0544,1.8679,85.8247,82.6873
33,59.9569,71.3734,55.483,9.9355,57.464,23.2378,93.9796,90.2208,87.0253,33.4368,27.8185,36.5591,41.7313,51.9675,37.1275,65.8588,59.9063,14.7402,16.3865,47.9307,53.9462,2.2418,34.8765,2.5584,41.0965,1.4579,85.8247,81.6107
33.5,60.1293,70.515,53.4378,9.5054,56.6547,24.4202,94.5994,90.5813,86.8897,32.6386,27.1311,35.8871,41.3437,52.438,36.9132,65.7752,59.1819,14.9947,15.5565,47.1284,51.7937,1.8022,34.4797,2.2938,39.0575,1.2756,85.1804,81.9121
34,59.0948,71.2876,53.9164,8.9892,55.7554,23.0559,94.7764,88.8238,86.1664,31.8404,25.802,34.4086,40.5254,51.2404,36.2701,65.3155,59.9489,13.7646,15.2373,46.2838,50.0448,2.022,35.582,1.7644,38.6498,1.8223,84.622,80.6632
34.5,57.8879,70.4292,52.3934,7.5269,55.6655,21.7372,94.4223,88.6886,86.0307,29.0909,25.0687,33.6918,38.932,49.6578,36.5488,65.1483,58.8837,14.1463,14.3648,46.1149,51.0314,1.6264,31.8783,1.8086,35.8405,1.3667,84.2784,80.7494
35,58.2328,68.927,51.436,7.7419,54.7212,21.6917,95.3077,89.0491,86.0759,27.8049,24.9771,34.767,38.7597,49.2301,35.7556,64.9812,57.9463,13.701,14.2584,45.1014,48.8789,1.7582,32.4956,2.1173,35.8858,1.139,84.7079,80.6632
35.5,55.9483,68.5408,51.262,6.7527,54.8112,22.2829,94.5994,89.4547,85.7143,27.7605,23.923,33.6918,36.994,48.0753,34.8767,63.6022,56.7107,13.2768,14.3009,44.1301,47.8475,1.3187,30.5996,1.8527,36.0217,1.0934,84.1065,80.0603
36,55.9914,69.2275,50.1305,6.3226,53.2824,21.1915,94.3338,89.8603,85.3526,27.1397,23.9688,31.81,38.1137,47.2198,34.3408,62.5157,55.6881,13.0011,13.854,43.8767,46.1883,1.6264,28.3951,1.7203,36.1577,1.0023,83.3763,79.845
36.5,55.431,68.1974,49.6519,5.8925,53.3273,19.6908,93.05,88.5083,84.8101,25.6763,23.1439,31.4964,36.1757,47.4765,33.5477,62.3067,56.029,13.0223,12.5984,43.7922,46.0987,0.7912,28.7478,1.4557,35.6593,1.2301,82.5601,79.242
37,54.3966,67.9399,47.389,5.2473,53.1025,19.7362,94.201,87.7422,83.9512,26.031,23.7397,30.9588,35.8312,46.8777,33.3333,62.1814,55.2194,12.6829,13.0666,43.0743,43.5874,1.2747,27.5132,1.191,34.9343,0.7289,83.2045,79.3282
37.5,54.569,67.6395,48.1723,4.9892,53.4173,19.4179,94.0682,86.6607,84.132,23.9911,22.7314,30.3763,35.6589,45.3807,33.0332,60.7606,54.2821,11.5589,11.6408,41.2584,44.1256,1.3626,27.8219,1.4557,34.1187,0.4556,82.3454,78.6391
38,51.9828,68.1116,46.3011,5.9785,51.1241,18.0082,93.2714,88.1478,83.9512,22.5277,21.769,27.5986,34.8837,45.1668,33.3548,60.8859,54.0264,11.6225,11.279,41.5118,42.4664,1.0549,24.9118,1.1028,33.4844,0.9112,82.5601,79.242
38.5,52.4138,67.5107,45.0392,4.4731,51.7986,18.9632,93.8911,87.9225,84.2676,24.1685,21.3107,29.1219,34.1516,44.4397,32.9904,60.9277,53.5151,11.5376,10.9598,40.2872,43.3184,0.4835,23.9859,1.1469,33.8922,0.5467,81.7869,79.2851
39,51.3793,65.5794,46.2141,4.4301,51.8885,19.5543,93.8468,88.3731,83.4087,23.1929,20.8066,29.0323,33.0319,44.5252,31.8328,60.0084,52.876,11.2195,10.449,39.2314,39.4619,0.5714,24.7795,1.2792,32.9406,0.4556,82.0017,78.553
39.5,49.569,67.0815,43.2115,3.828,50.8094,18.2356,92.5188,86.3903,82.8662,20.7982,20.5775,27.5986,33.0319,42.8144,32.0043,59.2144,53.3021,9.7561,10.2575,38.6402,41.1211,0.7912,23.3686,1.0146,31.3548,0.2733,79.9399,78.0792
40,48.1034,67.8112,43.2985,4.172,50.0899,18.8722,93.2714,88.6435,82.0976,20.9313,20.9899,25.672,31.9983,42.3439,31.8542,58.504,52.3221,10.1591,10.0021,38.978,40.7175,0.5714,21.0317,1.0146,30.1767,0.5011,80.2405,78.596
40.5,49.0517,65.3648,42.4717,3.914,50,17.1896,93.2271,86.0297,83.1826,20.133,20.6233,26.7473,31.18,41.5312,30.9968,58.504,50.7456,9.9682,9.4701,39.2736,38.9238,0.4396,22.4427,0.8381,30.4486,0.3189,80.1117,77.95
41,48.75,66.6953,41.5579,3.0538,48.5162,17.9627,93.1386,86.6156,81.8716,19.2461,19.0651,24.3728,31.3092,40.7613,30.6109,57.5428,50.9587,9.3955,8.8529,37.7956,38.1166,0.5714,20.9877,1.0146,29.7689,0.1367,81.4003,77.6486
